시군구명,시도명,역 개수
강남구,서울특별시,32
강동구,서울특별시,12
강북구,서울특별시,11
강서구,서울특별시,22
관악구,서울특별시,9
광진구,서울특별시,11
구로구,서울특별시,13
금천구,서울특별시,4
노원구,서울특별시,16
도봉구,서울특별시,8
동대문구,서울특별시,15
동작구,서울특별시,21
마포구,서울특별시,22
서대문구,서울특별시,7
서초구,서울특별시,19
성동구,서울특별시,19
성북구,서울특별시,13
송파구,서울특별시,21
양천구,서울특별시,6
영등포구,서울특별시,21
용산구,서울특별시,19
은평구,서울특별시,15
종로구,서울특별시,15
중구,서울특별시,23
중랑구,서울특별시,16
